name,slug,description,tier,actions
Cyberarm™ All Access,cyberarm-all-access,"<i>Unlock elegance, embrace limitless entry.</i><br /><br /><p class=""Card-Feature"">You always have a lock pick with you (does not take a slot in your Kit).  <strong>Spend 1 Hope</strong> to gain +2 Finesse on a lock picking attempt. <br /><br />Requires Cyberarm™ base unit</p>",1,"{'Cyberarm™ All Access': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>Unlock elegance, embrace limitless entry.</i><br><br><p class=""Card-Feature"">You always have a lock pick with you (does not take a slot in your Kit).  <strong>Spend 1 Hope</strong> to gain +2 Finesse on a lock picking attempt. <br><br>Requires Cyberarm™ base unit', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'key': 'hope', 'value': 1, 'keyIsID': False, 'scalable': False, 'step': None, 'consumeOnSuccess': False}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Cyberarm™ All Access', 'img': 'modules/cybermancy/assets/icons/cybernetics/cyberarm-all-access.webp', 'range': '', '_id': 'QPTLtytKBKVrd72w'}}"
Cyberarm™ Arsenal,cyberarm-arsenal,"<i>""Arm your elegance with precision art.""</i><br /><br /><p class=""Card-Feature"">This is a somewhat visible mod to the Cyberarm™ , meaning anyone seeing you can detect you have a weapon with a Perceive (10) roll.  Embedded SmartLink™ pistol, d8+1 with Smarklink and Pinpoint effects</p>",1,"{'Cyberarm™ Arsenal': {'type': 'attack', 'systemPath': 'actions', 'description': '<i>""Arm your elegance with precision art.""</i><br><br><p class=""Card-Feature"">This is a somewhat visible mod to the Cyberarm™ , meaning anyone seeing you can detect you have a weapon with a Perceive (10) roll.  Embedded SmartLink™ pistol, d8+1 with Smarklink and Pinpoint effects', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Cyberarm™ Arsenal', 'img': 'modules/cybermancy/assets/icons/cybernetics/cyberarm-arsenal.webp', 'range': '', 'damage': {'parts': [{'value': {'custom': {'enabled': False, 'formula': ''}, 'multiplier': 'prof', 'dice': 'd8', 'bonus': 1, 'flatMultiplier': 1}, 'applyTo': 'hitPoints', 'type': ['physical'], 'base': False, 'resultBased': False, 'valueAlt': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'bonus': None, 'custom': {'enabled': False, 'formula': ''}}}], 'includeBase': False}, 'roll': {'type': None, 'trait': None, 'difficulty': None, 'bonus': None, 'advState': 'neutral', 'diceRolling': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'compare': None, 'treshold': None}, 'useDefault': False}, '_id': 'KyX1miaW0hmLHCOn', 'save': {'trait': None, 'difficulty': None, 'damageMod': 'none'}}}"
Cyberarm™ Base Unit,cyberarm-base-unit,"<i>Unleash untamed might with mechanical grace.</i><br /><br /><p class=""Card-Feature"">Cyberarm™ base unit - enables other Cyberarm-related cybernetics.  <br /><br /> Once per long rest, <strong>Spend 1 Hope</strong> for advantage on a Strength roll or saving throw</p>",1,"{'Cyberarm™ Base Unit': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>Unleash untamed might with mechanical grace.</i><br><br><p class=""Card-Feature"">Cyberarm™ base unit - enables other Cyberarm-related cybernetics.  <br><br> Once per long rest, <strong>Spend 1 Hope</strong> for advantage on a Strength roll or saving throw', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'key': 'hope', 'value': 1, 'keyIsID': False, 'scalable': False, 'step': None, 'consumeOnSuccess': False}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Cyberarm™ Base Unit', 'img': 'modules/cybermancy/assets/icons/cybernetics/cyberarm-base-unit.webp', 'range': '', '_id': 'Nbsc0UwlLhkEf8OM'}}"
Cyberarm™ Digital Uplink,cyberarm-digital-uplink,"<i>""Embrace fusion; hack reality's core.""</i><br /><br /><p class=""Card-Feature"">You always have a digital link and storage device with you (does not take a slot in your Kit).  <strong>Spend 1 Hope</strong> to gain +2 on a Spellcasting (Hacking) attempt on a device within Melee range. <br /><br />Requires Cyberarm™ base unit</p>",1,"{'Cyberarm™ Digital Uplink': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>""Embrace fusion; hack reality\'s core.""</i><br><br><p class=""Card-Feature"">You always have a digital link and storage device with you (does not take a slot in your Kit).  <strong>Spend 1 Hope</strong> to gain +2 on a Spellcasting (Hacking) attempt on a device within Melee range. <br><br>Requires Cyberarm™ base unit', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'key': 'hope', 'value': 1, 'keyIsID': False, 'scalable': False, 'step': None, 'consumeOnSuccess': False}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Cyberarm™ Digital Uplink', 'img': 'modules/cybermancy/assets/icons/cybernetics/cyberarm-digital-uplink.webp', 'range': '', '_id': 'lrkUKyWTwn5gbJJc'}}"
Cyberarm™ Holdall,cyberarm-holdall,"<i>""Secrets hidden beneath your seamless alloy.""</i><br /><br /><p class=""Card-Feature"">You have a disguised compartment integrated into your Cyberarm unit that can hold a few small items (about 64 cm^2 of storage).  Impossible to detect without a physical search of the arm.<br /><br />Requires Cyberarm™ base unit</p>",1,"{'Cyberarm™ Holdall': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>""Secrets hidden beneath your seamless alloy.""</i><br><br><p class=""Card-Feature"">You have a disguised compartment integrated into your Cyberarm unit that can hold a few small items (about 64 cm^2 of storage).  Impossible to detect without a physical search of the arm.<br><br>Requires Cyberarm™ base unit', 'chatDisplay': True, 'actionType': 'passive', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Cyberarm™ Holdall', 'img': 'modules/cybermancy/assets/icons/cybernetics/cyberarm-holdall.webp', 'range': '', '_id': 'FJasM7da0zbBBiKM'}}"
Cyberarm™ Hydraulic Actuator,cyberarm-hydraulic-actuator,"<i>""Unleash your power, rest and rise.""</i><br /><br /><p class=""Card-Feature"">Reduce the Cyberarm™ Strength effect's recovery time to once per rest.  <br /><br /><strong>Spend 1 Hope</strong> for advantage on a Strength roll or saving throw</p>",1,"{'Cyberarm™ Hydraulic Actuator': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>""Unleash your power, rest and rise.""</i><br><br><p class=""Card-Feature"">Reduce the Cyberarm™ Strength effect\'s recovery time to once per rest.  <br><br><strong>Spend 1 Hope</strong> for advantage on a Strength roll or saving throw', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'key': 'hope', 'value': 1, 'keyIsID': False, 'scalable': False, 'step': None, 'consumeOnSuccess': False}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Cyberarm™ Hydraulic Actuator', 'img': 'modules/cybermancy/assets/icons/cybernetics/cyberarm-hydraulic-actuator.webp', 'range': '', '_id': 'rVpRbNfYggYzZm9C'}}"
Cyberarm™ Monowhip,cyberarm-monowhip,"<i>""Unleash precision: slice worlds seamlessly.""</i><br /><br /><p class=""Card-Feature"">Hidden fingertip spool that deploys a monomolecular whip.  Melee weapon, d8, with Lethal Edge and Slice in Two effects</p>",1,"{'Cyberarm™ Monowhip': {'type': 'attack', 'systemPath': 'actions', 'description': '<i>""Unleash precision: slice worlds seamlessly.""</i><br><br><p class=""Card-Feature"">Hidden fingertip spool that deploys a monomolecular whip.  Melee weapon, d8, with Lethal Edge and Slice in Two effects', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Cyberarm™ Monowhip', 'img': 'modules/cybermancy/assets/icons/cybernetics/cyberarm-monowhip.webp', 'range': '', 'damage': {'parts': [{'value': {'custom': {'enabled': False, 'formula': ''}, 'multiplier': 'prof', 'dice': 'd8', 'bonus': 0, 'flatMultiplier': 1}, 'applyTo': 'hitPoints', 'type': ['physical'], 'base': False, 'resultBased': False, 'valueAlt': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'bonus': None, 'custom': {'enabled': False, 'formula': ''}}}], 'includeBase': False}, 'roll': {'type': None, 'trait': None, 'difficulty': None, 'bonus': None, 'advState': 'neutral', 'diceRolling': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'compare': None, 'treshold': None}, 'useDefault': False}, '_id': '0zoabldyydISpSkY', 'save': {'trait': None, 'difficulty': None, 'damageMod': 'none'}}, '0zoabldyydISpSkY': {'type': 'attack', 'systemPath': 'actions', 'description': '<i>""Unleash precision: slice worlds seamlessly.""</i><br><br><p class=""Card-Feature"">Hidden fingertip spool that deploys a monomolecular whip.  Melee weapon, d8, with Lethal Edge and Slice in Two effects', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': 1}, 'name': 'Cyberarm™ Monowhip', 'img': 'modules/cybermancy/assets/icons/cybernetics/cyberarm-monowhip.webp', 'range': 'melee', 'damage': {'parts': [{'value': {'custom': {'enabled': False, 'formula': ''}, 'multiplier': 'prof', 'dice': 'd8', 'bonus': 0, 'flatMultiplier': 1}, 'applyTo': 'hitPoints', 'type': ['physical'], 'base': False, 'resultBased': False, 'valueAlt': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'bonus': None, 'custom': {'enabled': False, 'formula': ''}}}], 'includeBase': False}, 'roll': {'type': 'attack', 'trait': 'finesse', 'difficulty': None, 'bonus': None, 'advState': 'neutral', 'diceRolling': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'compare': None, 'treshold': None}, 'useDefault': False}, '_id': '0zoabldyydISpSkY', 'save': {'trait': None, 'difficulty': None, 'damageMod': 'none'}}, 'Ltw6biEaU94UsHLB': {'type': 'effect', '_id': 'Ltw6biEaU94UsHLB', 'systemPath': 'actions', 'description': '<p></p><p><span style=""font-family: &#x27;Bruno Ace&#x27;""><strong>Lethal Edge:</strong></span></p><ul><li><p><span style=""font-family: Montserrat, sans-serif"">On a Hope win, deal Severe damage if the Fear die shows 8-12.</span></p></li></ul>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Lethal Edge', 'img': 'modules/cybermancy/assets/icons/features/lethal-edge.webp', 'range': ''}, 'T27NzGhs5a4fOB2c': {'type': 'effect', '_id': 'T27NzGhs5a4fOB2c', 'systemPath': 'actions', 'description': '<p></p><p><span style=""font-family: &#x27;Bruno Ace&#x27;""><strong>Critical Effect - Slice in Two:</strong></span></p><ul><li><p><span style=""font-family: Montserrat, sans-serif"">Sever or disable a limb, item, or piece of cover.</span></p></li></ul>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Critical Effect:  Slice in Two', 'img': 'modules/cybermancy/assets/icons/features/slice-in-two.webp', 'range': ''}}"
Cyberarm™ Stiletto,cyberarm-stiletto,"<i>Swift steel triumph; your closest ally.</i><br /><br /><p class=""Card-Feature"">Melee range weapon, d6+1 with the Quick feature.</p>",1,"{'Cyberarm™ Stiletto': {'type': 'attack', 'systemPath': 'actions', 'description': '<i>Swift steel triumph; your closest ally.</i><br><br><p class=""Card-Feature"">Melee range weapon, d6+1 with the Quick feature.', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Cyberarm™ Stiletto', 'img': 'modules/cybermancy/assets/icons/cybernetics/cyberarm-stiletto.webp', 'range': '', 'damage': {'parts': [{'value': {'custom': {'enabled': False, 'formula': ''}, 'multiplier': 'prof', 'dice': 'd6', 'bonus': 1, 'flatMultiplier': 1}, 'applyTo': 'hitPoints', 'type': ['physical'], 'base': False, 'resultBased': False, 'valueAlt': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'bonus': None, 'custom': {'enabled': False, 'formula': ''}}}], 'includeBase': False}, 'roll': {'type': None, 'trait': None, 'difficulty': None, 'bonus': None, 'advState': 'neutral', 'diceRolling': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'compare': None, 'treshold': None}, 'useDefault': False}, '_id': 'Z5juudZJMxBKYDD2', 'save': {'trait': None, 'difficulty': None, 'damageMod': 'none'}}}"
Cyberarm™ Widow Spine,cyberarm-widow-spine,"<i>""Grapple destiny; ensnare fate's embrace.""</i><br /><br /><p class=""Card-Feature""><strong>Spend 1 Hope</strong> and make an attack roll against a creature of your size or less who is within Very Close. On a success, pull them to within Melee range of you and give them the <i>Restrained</i> condition.  GM must spotlight that creature and spend 1 Fear to remove the condition.<br /><br />Requires Cyberarm™ base unit</p>",1,"{'Cyberarm™ Widow Spine': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>""Grapple destiny; ensnare fate\'s embrace.""</i><br><br><p class=""Card-Feature""><strong>Spend 1 Hope</strong> and make an attack roll against a creature of your size or less who is within Very Close. On a success, pull them to within Melee range of you and give them the <i>Restrained</i> condition.  GM must spotlight that creature and spend 1 Fear to remove the condition.<br><br>Requires Cyberarm™ base unit', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'key': 'hope', 'value': 1, 'keyIsID': False, 'scalable': False, 'step': None, 'consumeOnSuccess': False}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Cyberarm™ Widow Spine', 'img': 'modules/cybermancy/assets/icons/cybernetics/cyberarm-widow-spine.webp', 'range': '', '_id': '32rnrc2EXsjxnDqE'}}"
Dermal Plating Mk.I,dermal-plating-mk-i,"<i>""Fortified skin, limitless potential.""</i><br /><br /><p class=""Card-Feature"">Gain +1 Armor Slot. You can only have 1 Dermal Plating enhancement, but they can be upgraded.</p>",1,"{'Dermal Plating Mk': {'I': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>""Fortified skin, limitless potential.""</i><br><br><p class=""Card-Feature"">Gain +1 Armor Slot. You can only have 1 Dermal Plating enhancement, but they can be upgraded.', 'chatDisplay': True, 'actionType': 'passive', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Dermal Plating Mk.I', 'img': 'modules/cybermancy/assets/icons/cybernetics/dermal-plating-mk.i.webp', 'range': ''}}}"
Dynamic tattoo,dynamic-tattoo,"<i>""Radiate power; command with a glance.""</i><br /><br /><p class=""Card-Feature""><strong>Spend 1 Hope</strong> to gain +1 on a Presence roll, so long as the target can see your skin</p>",1,"{'Dynamic tattoo': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>""Radiate power; command with a glance.""</i><br><br><p class=""Card-Feature""><strong>Spend 1 Hope</strong> to gain +1 on a Presence roll, so long as the target can see your skin', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'key': 'hope', 'value': 1, 'keyIsID': False, 'scalable': False, 'step': None, 'consumeOnSuccess': False}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Dynamic tattoo', 'img': 'modules/cybermancy/assets/icons/cybernetics/dynamic-tattoo.webp', 'range': '', '_id': 'qixrTm4ha4LAAejP'}}"
Emotive Pulse Regulator,emotive-pulse-regulator,"<i>Hope's shield, a warrior's silent sanctuary.</i><br /><br /><p class=""Card-Feature"">Once per scene, <strong>Spend 1 Hope</strong> to prevent Marking up to 1 Stress caused by damage from an external source (cannot be used to prevent Marking Stress from an action or reaction of your choice)</p>",1,"{'Emotive Pulse Regulator': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>Hope\'s shield, a warrior\'s silent sanctuary.</i><br><br><p class=""Card-Feature"">Once per scene, <strong>Spend 1 Hope</strong> to prevent Marking up to 1 Stress caused by damage from an external source (cannot be used to prevent Marking Stress from an action or reaction of your choice)', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'key': 'hope', 'value': 1, 'keyIsID': False, 'scalable': False, 'step': None, 'consumeOnSuccess': False}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Emotive Pulse Regulator', 'img': 'modules/cybermancy/assets/icons/cybernetics/emotive-pulse-regulator.webp', 'range': '', '_id': 'G4Oleg03dlyLFCxr'}}"
